edx.forum.response.created;edx.forum.thread.created;load_video;openassessment.upload_file;pause_video;play_video;problem_check;problem_graded;problem_show;seek_video;seq_goto;seq_next;seq_prev;stop_video
0;1;16;3;7;270;27;27;0;6;19;0;0;3
0;0;0;0;0;0;2;2;0;0;0;0;0;0
0;0;1;0;0;1;4;4;1;0;12;0;0;0
0;0;0;0;0;0;137;135;1;0;1;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;4;0;3;9;5;5;1;4;29;0;0;1
0;0;0;1;0;0;13;13;2;0;0;1;0;0
0;0;0;0;0;0;39;39;1;0;1;0;0;0
0;0;1;0;1;1;12;12;2;0;0;0;0;1
1;0;2;0;0;0;0;0;0;0;0;0;0;0
0;0;2;0;1;5;4;4;3;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;2;2;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;0;0;0;11;11;3;0;0;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;2;0;1;4;0;0;0;0;7;1;0;1
6;0;8;0;4;8;8;8;1;2;1;11;4;3
0;0;2;0;0;3;2;2;0;1;0;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;14;0;12;49;27;27;2;7;26;4;0;6
0;0;0;1;0;0;12;12;7;0;2;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;5;5;2;0;0;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;24;24;3;0;0;0;0;0
1;0;0;0;0;0;2;2;1;0;0;0;0;0
0;0;13;1;7;175;9;9;4;53;12;1;0;2
0;0;0;0;0;0;2;2;1;0;0;0;0;0
0;0;8;0;5;8;14;14;7;3;0;6;0;4
0;0;0;0;0;0;13;13;2;0;0;0;0;0
1;0;2;0;0;8;3;3;0;7;1;0;0;0
0;0;1;1;1;1;5;5;0;0;2;0;0;0
0;0;0;0;0;0;13;13;4;0;3;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;2;0;1;3;9;9;2;0;12;1;0;0
0;0;0;0;0;0;31;31;2;0;1;0;0;0
1;1;7;7;4;26;14;14;3;19;11;6;2;0
0;0;1;1;3;3;10;10;5;0;8;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
