clase;edx.forum.response.created;edx.forum.thread.created;load_video;openassessment.upload_file;pause_video;play_video;problem_check;problem_graded;problem_show;seek_video;seq_goto;seq_next;seq_prev;stop_video
T;0;1;16;1;26;52;12;12;3;18;10;23;9;7
T;1;0;19;3;15;302;46;46;10;25;44;7;2;6
F;1;0;2;0;0;2;1;1;1;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;1;0;0;4;0;0;0;3;7;0;0;0
T;0;0;15;1;13;46;8;8;4;28;19;6;1;7
F;0;1;11;0;7;16;8;8;1;6;14;5;1;5
T;0;0;21;1;47;97;23;23;1;28;55;1;0;14
T;1;1;34;0;37;71;197;197;4;11;114;5;3;8
T;0;0;1;2;0;1;12;12;6;0;10;1;0;0
T;0;0;3;1;5;15;18;18;0;10;16;3;1;3
F;0;0;0;0;0;0;3;3;0;0;0;0;0;0
F;1;0;19;0;6;20;33;33;1;4;32;1;0;1
T;0;0;2;0;0;0;32;32;1;0;14;1;0;0
T;0;1;7;1;5;13;87;87;7;2;6;5;4;1
F;0;0;2;0;0;2;2;2;1;0;1;4;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;9;9;5;0;0;0;0;0
F;0;1;1;0;4;7;4;4;1;2;25;0;0;0
T;0;1;18;0;50;96;20;20;2;33;9;0;0;7
T;0;0;18;0;319;340;28;28;7;47;11;1;0;2
T;1;0;0;1;0;0;17;17;1;0;5;2;0;0
T;0;0;24;1;10;16;9;9;0;8;34;3;1;9
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;1;2;63;1;65;103;31;31;7;19;123;1;0;26
T;0;0;8;3;3;13;46;46;10;8;18;1;1;1
F;0;0;0;0;0;0;5;5;2;0;4;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;2;38;1;45;169;38;38;0;106;75;7;5;5
T;0;1;2;0;0;2;46;46;3;0;22;2;0;0
F;0;1;1;0;1;1;12;12;5;0;5;3;0;0
F;0;0;1;0;0;0;0;0;0;0;19;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;4;0;13;23;10;10;2;8;3;0;0;2
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;0;1;0;0;15;15;2;0;1;1;0;0
T;0;0;8;1;4;37;17;17;2;32;17;0;1;4
F;0;1;1;0;5;12;18;18;1;8;1;2;2;1
T;0;0;11;1;6;8;72;72;2;0;101;11;8;2
F;0;0;1;0;1;1;0;0;0;0;0;0;0;0
T;0;1;26;2;15;48;20;20;1;9;30;1;3;7
T;0;2;7;2;0;12;21;21;0;3;51;1;7;0
T;0;0;61;2;19;60;32;32;4;31;112;3;1;3
T;0;0;24;3;41;449;23;23;0;83;58;0;0;0
T;0;0;11;1;8;14;26;26;1;6;4;3;2;3
F;0;0;1;0;0;0;5;5;0;0;1;0;0;0
T;0;0;2;0;8;1730;27;27;16;5;11;1;0;1
F;0;0;1;0;1;1;0;0;0;0;0;1;0;0
T;0;0;0;0;0;0;7;7;0;0;0;0;0;0
F;0;0;0;0;0;0;3;3;1;0;5;0;0;0
F;4;1;0;0;0;0;8;8;2;0;4;2;2;0
F;0;0;0;0;0;0;0;0;0;0;1;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;12;0;26;43;10;10;2;16;1;7;4;5
F;0;0;1;0;3;3;0;0;0;0;0;0;0;0
F;0;1;2;0;10;23;9;9;1;11;2;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;0;1;0;0;9;9;0;0;3;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;2;2;0;0;0;0;0;0
F;0;0;2;0;0;2;19;19;0;1;3;0;0;0
T;1;7;14;1;13;24;60;60;9;1;4;13;7;7
T;1;0;25;6;2;29;26;26;1;11;29;6;0;1
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;12;12;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;0;0;0;0;0;0;0;0;3;0;0;0
T;0;0;5;1;6;42;14;13;1;35;0;1;0;2
F;0;0;0;0;0;0;2;2;2;0;14;1;1;0
F;0;1;5;0;0;0;2;2;1;0;11;5;1;0
F;0;0;10;0;5;7;5;5;0;0;1;3;0;3
T;0;0;16;0;45;300;67;67;2;40;17;0;0;1
F;0;0;1;0;0;0;0;0;0;0;0;0;0;0
T;0;2;23;2;20;55;90;90;6;30;186;6;2;2
F;0;0;7;0;2;113;3;3;1;10;0;5;1;0
T;0;1;6;0;5;14;17;17;7;5;34;2;1;2
F;0;0;1;0;0;1;3;3;1;0;9;0;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;0;0;1;0;0;1;1;1;1;0;0;0;0;0
F;0;0;1;1;0;1;10;10;0;0;7;0;1;0
T;0;1;6;0;1;4;37;37;7;0;16;0;0;1
